id,year_birth,education,marital_status,income,kidhome,teenhome,dt_customer,recency,mntwines,mntfruits,mntmeatproducts,mntfishproducts,mntsweetproducts,mntgoldprods,numdealspurchases,numwebpurchases,numcatalogpurchases,numstorepurchases,numwebvisitsmonth,acceptedcmp3,acceptedcmp4,acceptedcmp5,acceptedcmp1,acceptedcmp2,response,complain,country,age,total_spend,total_purchases
453,1956,PhD,Widow,0.0,1,1,,1,27,0,12,0,1,5,2,2,0,3,5,0,0,0,0,0,0,0,SP,69,45,5
9687,1975,Graduation,Single,0.0,0,0,,1,184,174,256,50,30,32,1,5,4,6,2,0,0,0,0,0,0,0,CA,50,726,15
8890,1971,PhD,Divorced,0.0,1,1,,1,155,7,80,13,7,10,3,5,1,5,6,0,0,0,0,0,0,0,SP,54,272,11
9264,1986,Graduation,Married,0.0,0,0,,1,423,42,706,73,197,197,1,4,8,9,2,0,0,0,0,0,0,0,CA,39,1638,21
5824,1972,PhD,Together,0.0,2,1,,1,7,0,1,0,0,0,1,1,0,2,6,0,0,0,0,0,0,0,AUS,53,8,3
5794,1974,PhD,Married,0.0,0,1,,1,408,0,21,0,0,17,3,7,1,7,8,0,1,0,1,0,1,0,IND,51,446,15
3068,1990,Graduation,Married,0.0,0,0,,1,1,12,9,0,14,7,1,2,0,3,7,0,0,0,0,0,0,0,SP,35,43,5
7962,1987,PhD,Single,0.0,0,0,,1,1285,21,449,106,20,20,1,4,3,4,1,0,0,1,1,0,1,0,SP,38,1901,11
2681,1984,2n Cycle,Married,0.0,0,0,,1,71,22,112,138,89,29,1,2,3,13,1,0,0,0,0,0,0,0,SP,41,461,18
10141,1960,Master,Divorced,0.0,0,0,,1,7,1,6,0,3,3,1,0,0,3,4,0,0,0,0,0,0,0,SA,65,20,3
3725,1961,PhD,Single,0.0,0,0,,1,1248,16,349,43,16,16,1,2,4,9,4,0,1,1,1,1,1,0,SP,64,1688,15
3767,1968,Graduation,Married,0.0,0,1,,1,378,0,189,97,172,172,2,5,5,12,3,0,0,0,0,0,0,0,SP,57,1008,22
5585,1972,Graduation,Single,0.0,1,0,,1,12,2,17,6,1,10,2,2,0,3,8,0,0,0,0,0,1,0,CA,53,48,5
7030,1955,PhD,Married,0.0,0,1,,1,1200,0,204,38,29,14,3,11,9,12,6,0,0,0,1,0,0,0,SP,70,1485,32
1524,1983,2n Cycle,Single,0.0,0,0,,1,709,45,115,30,160,45,1,8,2,5,5,0,0,0,1,0,1,0,SP,42,1104,15
3657,1986,Graduation,Single,0.0,1,0,,1,94,1,33,13,12,12,3,4,0,4,8,0,0,0,0,0,0,0,SP,39,165,8
5740,1970,2n Cycle,Divorced,0.0,1,1,,1,4,2,12,7,5,26,2,1,2,2,6,0,0,0,0,0,1,0,SP,55,56,5
9595,1961,Graduation,Together,0.0,0,0,,1,539,169,816,20,0,30,1,4,5,4,3,0,0,0,0,0,1,0,SP,64,1574,13
3158,1973,Graduation,Married,0.0,1,0,,1,13,3,6,6,5,6,1,1,0,3,8,0,0,0,0,0,0,0,SP,52,39,4
5114,1965,Master,Married,0.0,0,1,,1,670,9,249,0,28,9,2,5,4,5,4,0,0,0,0,0,0,0,AUS,60,965,14
340,1970,Graduation,Divorced,0.0,0,1,,1,158,35,179,0,0,125,2,7,2,8,5,1,0,0,0,0,1,0,GER,55,497,17
8805,1960,Graduation,Single,0.0,0,1,,1,283,10,38,0,13,27,4,7,2,4,8,0,0,0,0,0,0,0,US,65,371,13
1241,1984,2n Cycle,Married,0.0,1,0,,1,13,3,8,7,4,16,2,1,0,3,9,0,0,0,0,0,1,0,GER,41,51,4
1402,1954,Master,Married,0.0,0,0,,1,496,36,460,189,60,12,3,4,8,6,3,0,0,0,0,0,0,0,GER,71,1253,18
7264,1978,2n Cycle,Single,0.0,2,1,,2,12,0,4,0,0,1,1,1,0,2,8,0,0,0,0,0,0,0,SA,47,17,3
1619,1956,Graduation,Married,0.0,0,0,,2,292,51,981,224,23,17,1,4,6,6,1,0,0,0,0,0,1,0,SP,69,1588,16
6398,1974,Basic,Married,0.0,1,0,,2,7,10,13,16,0,4,2,3,0,3,8,0,0,0,0,0,0,0,SP,51,50,6
1857,1952,Graduation,Single,0.0,1,1,,2,46,0,12,0,2,23,2,2,1,2,7,0,0,0,0,0,1,0,SP,73,83,5
4877,1973,Master,Married,0.0,0,1,,2,34,0,7,0,0,0,1,1,0,3,7,0,0,0,0,0,0,0,IND,52,41,4
3066,1975,PhD,Together,0.0,0,1,,2,167,0,43,6,2,13,2,4,2,4,5,0,0,0,0,0,0,0,SA,50,231,10
10286,1962,Graduation,Married,0.0,0,0,,2,318,8,407,150,35,8,1,2,8,13,0,0,0,0,0,0,0,0,SA,63,926,23
1992,1964,Graduation,Married,0.0,0,1,,2,522,0,257,32,16,66,4,2,2,8,7,0,0,0,1,0,1,0,SP,61,893,12
4246,1982,Master,Single,0.0,0,0,,2,67,11,26,4,3,262,0,1,0,1,17,0,0,0,0,0,0,0,SP,43,373,2
10623,1961,Master,Together,0.0,0,1,,2,28,0,4,0,0,0,1,1,0,3,5,0,0,0,0,0,0,0,SP,64,32,4
4867,1968,PhD,Single,0.0,1,1,,2,58,0,18,2,0,10,4,3,0,4,7,0,0,0,0,0,0,0,SP,57,88,7
3112,1977,Master,Married,0.0,1,0,,2,2,4,9,0,4,5,1,1,0,3,5,0,0,0,0,0,0,0,SP,48,24,4
4865,1974,Master,Divorced,0.0,1,1,,2,229,7,140,10,3,11,7,5,1,8,7,0,0,0,0,0,1,0,AUS,51,400,14
6287,1986,Graduation,Together,0.0,1,0,,2,14,0,16,0,0,6,1,1,1,2,6,0,0,0,0,0,1,0,SP,39,36,4
4405,1956,Master,Married,0.0,0,2,,2,622,7,115,30,0,15,2,6,3,12,5,0,0,0,0,0,0,0,AUS,69,789,21
5332,1960,2n Cycle,Married,0.0,0,0,,2,362,50,431,134,35,54,1,3,6,7,1,0,0,0,0,0,0,0,IND,65,1066,16
1519,1972,PhD,Single,0.0,1,1,,2,38,4,22,3,3,3,3,3,0,3,8,0,0,0,0,0,1,0,SP,53,73,6
9080,1972,PhD,Single,0.0,1,1,,2,38,4,22,3,3,3,3,3,0,3,8,0,0,0,0,0,0,0,SP,53,73,6
1772,1975,PhD,Married,0.0,0,0,,2,1074,37,518,193,92,129,1,5,6,7,2,0,0,1,1,0,1,0,CA,50,2043,18
5341,1962,2n Cycle,Divorced,0.0,0,1,,2,983,76,184,180,138,27,1,6,3,4,7,0,0,1,0,0,0,0,SA,63,1588,13
5510,1977,Master,Married,0.0,0,1,,2,262,6,61,0,10,102,3,5,2,6,5,0,0,0,0,0,0,0,SP,48,441,13
3887,1970,Graduation,Single,0.0,1,0,,2,3,17,26,20,1,39,2,2,0,3,9,0,0,0,0,0,1,0,IND,55,106,5
7022,1971,Graduation,Married,0.0,1,0,,2,739,107,309,140,80,35,1,2,5,13,6,0,0,0,0,0,0,0,SA,54,1410,20
9999,1965,Graduation,Together,0.0,0,0,,2,610,105,125,137,42,21,1,9,4,9,5,0,0,0,0,0,0,0,SP,60,1040,22
10352,1963,Graduation,Widow,0.0,1,1,,2,50,4,28,6,3,26,3,3,1,2,9,0,0,0,0,0,1,0,SA,62,117,6
7919,1976,PhD,Together,0.0,0,0,,2,1285,105,653,28,21,0,1,10,4,8,8,0,0,0,0,0,1,0,SP,49,2092,22
4114,1964,Master,Married,0.0,0,0,,2,650,37,780,27,167,32,1,6,9,13,3,0,0,0,0,0,0,0,AUS,61,1693,28
7990,1947,Graduation,Married,0.0,0,0,,2,9,1,2,3,2,0,1,0,0,3,6,0,0,0,0,0,0,0,CA,78,17,3
9888,1969,Graduation,Together,0.0,0,0,,3,458,81,356,106,50,40,1,4,4,7,2,0,0,0,0,0,0,0,SP,56,1091,15
4399,1969,Graduation,Together,0.0,0,0,,3,458,81,356,106,50,40,1,4,4,7,2,0,0,0,0,0,0,0,CA,56,1091,15
4452,1957,Graduation,Single,0.0,0,1,,3,292,6,37,0,3,34,4,6,1,6,7,0,1,0,1,0,1,0,GER,68,372,13
4785,1970,PhD,Together,0.0,0,2,,3,520,7,154,19,0,14,2,6,3,11,3,0,0,0,0,0,0,0,SA,55,714,20
8461,1962,Graduation,Divorced,0.0,2,1,,3,14,0,1,0,0,1,1,1,0,2,7,0,0,0,0,0,0,0,SP,63,16,3
3878,1980,2n Cycle,Single,0.0,1,0,,3,3,4,7,15,8,11,1,1,0,3,7,0,0,0,0,0,0,0,SP,45,48,4
9612,1987,2n Cycle,Single,0.0,0,0,,3,1,8,6,4,8,16,1,1,0,3,7,0,0,0,0,0,0,0,SP,38,43,4
4098,1973,Graduation,Married,0.0,1,1,,3,20,3,16,0,4,1,3,2,0,4,6,0,0,0,0,0,0,0,AUS,52,44,6
158,1945,PhD,Together,0.0,0,0,,3,345,53,528,98,75,97,1,8,3,5,4,1,0,0,0,0,1,0,SP,80,1196,16
3896,1984,Graduation,Married,0.0,1,0,,3,22,1,11,0,1,2,1,1,0,3,7,0,0,0,0,0,0,0,SP,41,37,4
9970,1977,Graduation,Together,0.0,0,1,,3,42,11,57,10,28,14,1,1,1,6,2,0,0,0,0,0,0,0,CA,48,162,8
4002,1960,PhD,Married,0.0,0,1,,3,463,96,333,168,53,10,1,7,7,12,3,0,0,0,0,0,0,0,SP,65,1123,26
10914,1970,Graduation,Single,0.0,1,1,,3,4,1,7,2,1,2,2,1,0,3,4,0,0,0,0,0,0,0,SP,55,17,4
7279,1969,PhD,Together,0.0,0,0,,3,260,86,559,63,9,67,1,4,6,4,2,0,0,0,0,0,0,0,US,56,1044,14
10582,1979,Graduation,Married,0.0,0,1,,3,180,32,348,76,32,90,2,5,2,12,2,0,0,0,0,0,0,0,GER,46,758,19
4470,1962,Master,Married,0.0,0,1,,3,62,1,44,6,5,22,1,2,1,4,4,0,0,0,0,0,0,0,SP,63,140,7
6183,1962,Master,Married,0.0,0,1,,3,62,1,44,6,5,22,1,2,1,4,4,0,0,0,0,0,0,0,GER,63,140,7
6379,1949,Master,Widow,0.0,1,1,,3,67,1,20,0,2,31,3,2,2,2,7,0,0,0,0,0,1,0,US,76,121,6
8601,1980,Graduation,Married,0.0,0,1,,3,421,76,536,82,178,102,2,8,6,5,4,0,0,0,0,0,0,0,AUS,45,1395,19
4827,1956,PhD,Single,0.0,0,1,,3,154,22,202,39,30,8,5,4,2,9,4,0,0,0,0,0,1,0,SP,69,455,15
6715,1948,PhD,Single,0.0,0,1,,3,502,19,132,0,6,26,6,6,2,11,6,0,0,0,0,0,0,0,SP,77,685,19
10676,1982,Graduation,Married,0.0,0,0,,3,145,193,459,205,26,145,2,3,8,7,2,0,0,0,0,0,1,0,SP,43,1173,18
1041,1973,PhD,Single,0.0,0,1,,3,322,3,50,4,3,42,5,7,1,6,8,0,0,0,0,0,1,0,SA,52,424,14
492,1973,PhD,YOLO,0.0,0,1,,3,322,3,50,4,3,42,5,7,1,6,8,0,0,0,0,0,0,0,CA,52,424,14
11133,1973,PhD,YOLO,0.0,0,1,,3,322,3,50,4,3,42,5,7,1,6,8,0,0,0,0,0,1,0,IND,52,424,14
4491,1949,Master,Married,0.0,1,1,,3,1099,0,45,0,0,34,11,3,4,10,8,0,1,0,0,0,0,0,SP,76,1178,17
873,1949,Master,Married,0.0,1,1,,3,1099,0,45,0,0,34,11,3,4,10,8,0,1,0,0,0,1,0,SP,76,1178,17
1631,1965,PhD,Together,0.0,0,0,,3,890,63,292,0,25,12,4,8,4,7,6,0,0,0,0,0,1,0,GER,60,1282,19
8278,1990,PhD,Married,0.0,0,0,,3,863,83,547,86,99,33,1,8,2,5,5,0,0,0,0,0,0,0,SP,35,1711,15
6815,1980,2n Cycle,Married,0.0,0,0,,4,448,21,125,52,101,62,0,7,6,8,2,1,0,1,1,0,1,0,SP,45,809,21
254,1955,Graduation,Together,0.0,0,1,,4,399,4,30,6,4,30,3,7,1,7,7,0,1,0,0,0,0,0,SP,70,473,15
1349,1970,Graduation,Married,0.0,2,0,,4,85,7,24,2,3,27,1,3,1,3,6,0,0,0,0,0,0,0,IND,55,148,7
2534,1953,Graduation,Married,0.0,0,1,,4,97,1,41,6,2,41,2,4,1,3,7,0,0,0,0,0,0,0,AUS,72,188,8
2130,1982,Graduation,Together,0.0,2,0,,4,35,3,67,10,8,24,1,3,1,3,6,0,0,0,0,0,1,0,SA,43,147,7
2296,1975,Master,Married,0.0,1,0,,4,3,2,11,2,2,10,1,1,0,2,6,1,0,0,0,0,0,0,SP,50,30,3
3799,1955,Graduation,Married,0.0,0,1,,4,315,35,322,46,7,143,3,7,2,11,5,0,0,0,0,0,0,0,US,70,868,20
11084,1976,Master,Together,0.0,0,1,,4,738,0,232,13,20,50,2,3,5,7,7,0,0,0,0,0,1,0,CA,49,1053,15
5172,1976,Master,Together,0.0,0,1,,4,738,0,232,13,20,50,2,3,5,7,7,0,0,0,0,0,0,0,SP,49,1053,15
9504,1949,Master,Married,0.0,0,0,,4,179,28,520,111,123,47,1,3,8,13,1,0,0,0,0,0,1,0,SP,76,1008,24
850,1968,Graduation,Single,0.0,0,1,,4,381,28,215,84,28,21,2,6,5,9,3,0,0,0,0,0,0,0,SP,57,757,20
4477,1958,Graduation,Together,0.0,0,1,,4,247,49,159,7,82,109,1,5,2,10,4,0,0,0,0,0,0,0,GER,67,653,17
1945,1962,Graduation,Married,0.0,0,1,,4,711,36,217,172,96,168,3,7,4,7,4,0,1,0,1,0,0,0,SP,63,1400,18
7685,1978,Graduation,Married,0.0,1,0,,4,30,8,12,8,8,12,1,2,0,4,5,0,0,0,0,0,0,0,SP,47,78,6
6310,1978,Graduation,Married,0.0,1,0,,4,30,8,12,8,8,12,1,2,0,4,5,0,0,0,0,0,0,0,CA,47,78,6
10832,1958,Graduation,Together,0.0,0,0,,4,288,10,30,4,10,125,1,6,1,6,6,0,0,0,0,0,0,0,SP,67,467,13
3025,1958,Graduation,Single,0.0,0,1,,4,212,6,69,4,12,3,3,6,1,5,7,0,0,0,0,0,0,0,CA,67,306,12
2404,1976,Graduation,Married,0.0,1,1,,4,173,4,30,3,6,41,4,5,1,4,7,0,0,0,0,0,0,0,US,49,257,10
8581,1971,Master,Married,0.0,1,1,,4,604,0,100,19,0,28,9,10,2,8,8,0,0,0,0,0,0,0,SP,54,751,20
8755,1946,Master,Married,0.0,0,0,,4,482,34,471,119,68,22,1,3,5,9,7,0,0,0,0,0,0,0,AUS,79,1196,17
10177,1954,Graduation,Divorced,0.0,0,1,,4,531,69,300,150,138,150,3,5,4,8,2,0,0,0,0,0,0,0,SP,71,1338,17
2429,1954,Graduation,Divorced,0.0,0,1,,4,531,69,300,150,138,150,3,5,4,8,2,0,0,0,0,0,0,0,CA,71,1338,17
8920,1967,Master,Single,0.0,1,0,,4,448,40,469,80,0,91,3,11,2,12,7,0,0,0,0,0,0,0,IND,58,1128,25
8430,1957,Graduation,Together,0.0,0,1,,4,9,0,6,3,1,3,1,0,0,3,5,0,0,0,0,0,0,0,AUS,68,22,3
8619,1957,Graduation,Together,0.0,0,1,,4,9,0,6,3,1,3,1,0,0,3,5,0,0,0,0,0,0,0,SP,68,22,3
8996,1957,PhD,Married,0.0,2,1,,4,230,42,192,49,37,53,12,7,2,8,9,0,0,0,0,0,0,0,GER,68,603,17
7233,1972,Graduation,Married,0.0,0,0,,4,496,32,849,229,48,128,2,5,3,6,4,0,0,0,1,0,0,0,CA,53,1782,14
6678,1989,Graduation,Together,0.0,1,0,,5,33,4,24,4,2,5,2,3,0,4,7,0,0,0,0,0,0,0,IND,36,72,7
830,1987,PhD,Single,0.0,0,0,,5,784,48,560,42,176,48,1,4,6,4,3,0,0,1,1,0,1,0,IND,38,1658,14
6365,1987,2n Cycle,Married,0.0,0,0,,5,10,12,12,25,1,20,1,2,0,3,6,0,0,0,0,0,0,0,IND,38,80,5
6770,1985,Graduation,Married,0.0,1,0,,5,5,13,14,0,5,31,2,2,1,2,6,1,0,0,0,0,1,0,US,40,68,5
2261,1969,Graduation,Married,0.0,1,0,,5,4,1,5,2,0,4,1,1,0,2,7,0,0,0,0,0,0,0,GER,56,16,3
1031,1989,2n Cycle,Married,0.0,0,0,,5,600,20,350,29,30,33,1,6,9,10,2,0,0,1,0,0,0,0,IND,36,1062,25
10089,1974,Graduation,Divorced,0.0,0,0,,5,168,148,444,32,172,148,1,6,9,13,2,0,1,1,1,1,1,0,SA,51,1112,28
9256,1971,Graduation,Single,0.0,0,1,,5,493,26,206,116,80,80,4,8,3,12,6,0,0,0,0,0,0,0,SP,54,1001,23
10641,1978,Graduation,Single,0.0,1,1,,5,6,5,4,13,4,25,4,2,1,3,6,0,0,0,0,0,0,0,SP,47,57,6
624,1984,Master,Single,0.0,0,0,,5,6,4,1,7,2,15,1,0,1,2,6,1,0,0,0,0,1,0,SA,41,35,3
4211,1986,Basic,Married,0.0,1,0,,5,4,12,5,3,16,17,2,2,0,3,7,0,0,0,0,0,0,0,CA,39,57,5
1407,1986,Basic,Married,0.0,1,0,,5,4,12,5,3,16,17,2,2,0,3,7,0,0,0,0,0,0,0,GER,39,57,5
10356,1957,PhD,Divorced,0.0,1,1,,5,29,0,2,0,0,1,1,1,0,3,7,0,0,0,0,0,0,0,SP,68,32,4
9323,1949,Master,Together,0.0,0,1,,5,520,8,223,32,49,42,4,10,5,7,8,1,0,0,0,0,1,0,ME,76,874,22
1146,1949,Master,Together,0.0,0,1,,5,520,8,223,32,49,42,4,10,5,7,8,1,0,0,0,0,1,0,AUS,76,874,22
6343,1959,Graduation,Married,0.0,0,1,,6,835,73,380,114,73,43,1,6,9,7,2,0,1,0,0,0,0,0,AUS,66,1518,22
8545,1954,Graduation,Divorced,0.0,0,0,,6,1296,17,311,45,69,51,1,2,4,10,1,0,1,1,1,1,1,0,SP,71,1789,16
8275,1965,PhD,Divorced,0.0,1,1,,6,16,0,3,0,0,1,1,1,0,2,7,0,0,0,0,0,0,0,SP,60,20,3
10673,1976,PhD,Married,0.0,0,1,,6,760,80,466,17,13,80,1,6,9,5,3,0,0,0,0,0,0,0,SA,49,1416,20
8799,1984,PhD,Married,0.0,1,0,,6,70,6,69,2,3,3,3,3,1,4,7,0,0,0,0,0,0,0,SP,41,153,8
67,1972,Master,Single,0.0,1,1,,6,68,0,16,0,0,8,3,2,0,4,7,0,0,0,0,0,0,0,SP,53,92,6
9923,1972,Master,Single,0.0,1,1,,6,68,0,16,0,0,8,3,2,0,4,7,0,0,0,0,0,0,0,SP,53,92,6
2814,1976,Master,Together,0.0,1,0,,6,9,1,5,4,5,7,1,1,0,3,7,0,0,0,0,0,0,0,SA,49,31,4
2711,1976,Master,Together,0.0,1,0,,6,9,1,5,4,5,7,1,1,0,3,7,0,0,0,0,0,0,0,CA,49,31,4
4320,1979,Graduation,Single,0.0,0,1,,6,325,83,300,86,58,91,1,6,4,12,3,0,0,0,0,0,0,0,SP,46,943,22
10451,1965,Graduation,Together,0.0,1,1,,6,9,1,3,0,4,8,1,0,0,3,6,0,0,0,0,0,0,0,SA,60,25,3
4198,1965,Graduation,Together,0.0,1,1,,6,9,1,3,0,4,8,1,0,0,3,6,0,0,0,0,0,0,0,SP,60,25,3
10814,1947,Graduation,Together,0.0,0,0,,6,303,23,751,82,26,191,1,6,5,13,4,0,0,0,0,0,1,0,SP,78,1376,24
944,1962,Graduation,Married,0.0,0,1,,6,121,103,69,8,44,48,1,4,2,7,4,0,0,0,0,0,0,0,SP,63,393,13
8151,1990,Basic,Married,0.0,0,0,,6,16,36,21,20,62,108,1,4,1,3,8,0,0,0,0,0,0,0,SP,35,263,8
6184,1969,PhD,Married,0.0,0,0,,6,561,64,785,84,128,48,1,3,3,8,1,0,0,0,0,0,0,0,SP,56,1670,14
3498,1976,PhD,Married,0.0,0,1,,6,462,61,184,10,53,107,4,7,5,9,6,1,0,0,0,0,1,0,SP,49,877,21
2870,1973,Graduation,Married,0.0,0,1,,6,376,0,38,11,8,69,5,6,3,6,6,0,0,0,0,0,0,0,SP,52,502,15
7342,1961,2n Cycle,Widow,0.0,0,1,,6,341,142,113,259,151,66,3,6,6,12,5,0,0,0,0,0,0,0,SP,64,1072,24
1911,1987,Graduation,Together,0.0,0,0,,6,595,97,291,127,133,121,1,11,5,12,6,0,0,0,0,0,0,0,GER,38,1364,28
10862,1960,Master,Married,0.0,0,1,,6,179,8,83,19,11,26,5,1,2,9,2,0,0,0,0,0,0,0,SP,65,326,12
2546,1977,2n Cycle,Single,0.0,0,1,,7,23,4,5,10,5,23,1,1,0,4,3,0,0,0,0,0,0,0,SP,48,70,5
3005,1992,Graduation,Single,0.0,0,0,,7,530,117,678,134,44,147,1,4,10,8,1,1,0,0,1,0,1,0,SP,33,1650,22
8318,1979,Graduation,Together,0.0,0,0,,7,594,134,786,33,134,57,0,5,6,8,1,0,0,1,0,0,0,0,SP,46,1738,19
2930,1978,Master,Single,0.0,0,0,,7,852,60,207,78,36,48,2,2,6,10,5,0,0,0,0,0,0,0,SA,47,1281,18
8216,1972,Master,Married,0.0,1,1,,7,158,0,76,13,7,71,6,4,4,3,5,0,0,0,0,0,0,0,AUS,53,325,11
1212,1973,Graduation,Married,0.0,1,0,,7,384,25,292,130,41,64,3,8,8,6,6,1,0,0,0,0,0,0,SP,52,936,22
2541,1976,Graduation,Married,0.0,1,0,,7,14,7,11,11,0,5,2,2,0,3,8,0,0,0,0,0,0,0,SP,49,48,5
10659,1979,2n Cycle,Together,0.0,1,0,,7,2,8,11,3,8,21,4,3,2,2,7,0,0,0,0,0,0,0,IND,46,53,7
10905,1955,Graduation,Together,0.0,1,1,,7,194,2,56,0,0,0,5,4,1,6,8,0,0,0,0,0,1,0,SP,70,252,11
8910,1955,Graduation,Together,0.0,1,1,,7,194,2,56,0,0,0,5,4,1,6,8,0,0,0,0,0,1,0,SP,70,252,11
7349,1973,Basic,Together,0.0,1,0,,7,6,17,16,6,16,42,4,3,1,3,8,0,0,0,0,0,1,0,SP,52,103,7
7872,1975,PhD,Married,0.0,0,0,,7,179,21,273,0,21,63,1,6,10,6,5,1,0,1,1,0,1,0,SP,50,557,22
4290,1972,Graduation,Married,0.0,1,0,,8,1,3,8,2,5,5,1,1,0,2,7,0,0,0,0,0,0,0,CA,53,24,3
7408,1952,PhD,Married,0.0,0,1,,8,216,2,6,0,0,9,2,5,1,4,7,0,0,0,0,0,0,0,SA,73,233,10
9986,1982,Graduation,Together,0.0,1,0,,8,16,0,23,3,2,10,3,4,1,2,7,0,0,0,0,0,1,0,SA,43,54,7
8235,1956,Master,Together,0.0,0,1,,8,428,30,214,80,30,61,2,6,5,10,3,0,0,0,0,0,0,0,SA,69,843,21
10949,1963,PhD,Divorced,0.0,0,0,,8,1092,37,592,145,37,55,1,5,5,8,3,0,0,0,1,0,1,0,SP,62,1958,18
7284,1953,Graduation,Married,0.0,1,2,,8,10,0,7,2,0,1,1,1,0,2,8,0,0,0,0,0,0,0,SP,72,20,3
9529,1990,Graduation,Married,0.0,0,0,,8,559,153,503,218,13,181,1,3,9,9,2,0,0,0,1,0,1,0,SA,35,1627,21
9930,1944,PhD,Single,0.0,0,0,,8,606,148,228,15,148,22,1,6,8,13,2,0,0,0,0,0,0,0,CA,81,1167,27
10270,1981,2n Cycle,Married,0.0,1,0,,8,11,5,22,12,5,11,2,3,0,3,7,0,0,0,0,0,0,0,GER,44,66,6
760,1975,PhD,Divorced,0.0,1,0,,8,588,7,76,110,15,15,2,8,4,9,6,0,0,0,0,0,0,0,SA,50,811,21
